ID,TXT,备注
1241,硬盘硬件告警,
1242,进程异常告警,
1243,PING不可达,
1244,license即将过期,
1245,数据库连接异常告警,
1246,辅助系统告警,
1247,模块类告警,
1248,运行环境告警,
1249,网络协议类,
1250,硬件状态类,
1251,license过期,
1252,license无效,
1253,硬件故障,
1254,网口状态异常,
1255,模块断连告警,
1256,系统服务告警,
1257,系统用户告警,
1258,时间同步告警,
1259,在线用户数告警,
1260,链路故障,
1261,软件环境问题,
1262,未授权的接入尝试,
1263,系统资源超负荷,
1264,响应时间超时,
1265,AccessKeyID异常,
1266,北向SNMP服务异常,
1267,性能表空间存储告警,
1268,数据库异常,
1269,设备硬件告警,
1270,业务告警,
1271,恢复告警,
1272,网络性能,
1273,成功率异常告警,
1275,性能处理能力异常告警,
1276,bras上报话单异常告警,
1277,跨地市认证告警,
1278,bras请求数告警,
1279,Timesten数据库连接异常告警,
1280,认证受阻,
1281,设备不可达告警,
1282,存储容量告警,
1283,AAA认证用户数异常告警,
1284,AAA用户数异常告警,
1285,内存告警,
1286,业务性能,
1287,时钟,
1288,业务可用性告警,
1289,全量投诉预警,
1290,舆情预警,
1291,应急告警,
140001,动力电源,
140002,运行系统,
140003,输入输出设备,
140005,设备环境,
140006,设备退服,
140007,主设备故障,
140008,中继传输/时钟同步,
140012,单元硬件,
140013,动力环境告警,
140014,服务质量告警,
140017,输入输出高级外部设备,
140019,通信告警,
140020,通迅告警,
140021,统计告警,
140022,系统软件,
140024,业务服务,
140027,设备告警,
140028,通讯告警,
140029,外部设备,
140030,数据维护,
140031,基础电池告警,
140032,风路系统告警,
140033,采集设备通信中断告警,
140034,低压配电告警,
140035,非法出入告警,
140036,辅助告警,
140037,辅助及控制部件告警,
140038,红外告警,
140039,监控故障告警,
140040,监控系统告警,
140041,门碰告警,
140042,逆变器告警,
140043,旁路告警,
140044,湿度传感器,
140045,电池告警,
140046,输出告警,
140047,输入告警,
140049,停机告警,
140050,温度,
140051,温度传感器,
140054,系统故障告警,
140055,压缩机告警,
140056,烟雾告警,
140057,运行性能告警,
140058,整流模块告警,
140059,整流器告警,
140060,整流设备告警,
140061,IP承载网测试业务,
140062,IVR业务测试业务,
140063,MAP-SP短信测业务,
140064,MAP-点对点短信测业务,
140065,MAP-位置更新测试业务,
140066,彩铃测试业务,
140067,交换机及电路测试业务,
140068,虚拟网测试业务,
140069,语音MOS测试业务,
140070,MAP-主被叫测试业务,
140071,变换设备告警,
140072,谐波抑制设备告警,
140073,高压配电告警,
140074,高压操作电源告警,
140075,水路系统告警,
140076,电容补偿设备告警,
140077,变压器告警,
140078,电压告警,
140079,压缩机故障,
140080,输入电源告警,
140081,门开告警,
140082,地排告警,
140083,风机告警,
140084,被监控设备通信中断告警,
140085,各省自行梳理,
140086,软件系统,
140087,性能告警,
140088,处理错误告警,
140089,处理失败告警,
140090,网管软件,
140091,网管硬件,
140092,网络连接告警,
140093,输入输出告警,
140094,输入输出设配,
140095,处理器告警,
140096,中央处理器故障,
140097,光纤故障,
140098,环境告警,
140099,硬件故障,
140100,性能指标超过阈值,
140101,WLAN,
140102,系统数据配置异常,
140103,数据配置告警,
140104,动环告警,
140105,输入输出外部设,
140106,网络安全告警,
140107,未知告警类型,
140108,通讯,
140109,通信问题,
140110,性能,
140111,服务质量,
140112,ping测试,
140113,网络性能,
140114,SIP软终端测试业务,
140115,统一Centrex业务(群内呼叫)测试,
140116,性能越限通知,
140117,设备模块,
140118,业务模块,
140119,硬件系统,
140120,设备运行告警,
140121,设备资源告警,
140122,配置数据,
140128,安全服务或机制违背,
140129,业务运行,
140130,通讯连接,
140131,系统环境,
140132,传输与中继,
140133,输出输入设备,
140134,网管系统,
140135,LICENSE问题,
140136,NTP,
140137,事件告警,
140138,License告警,
140666,性能预警,
20171108,其他,
201109283,进程告警,
201109284,应用程序,
201109285,拥塞告警,
201109291,完整性告警,
201109294,在线用户数告警,
201109295,节点状态异常告警,
201710171,自动拨测,
201710201,OAM模块,
201710202,协议栈模块,
201710203,系统,
201711082,软件告警,
2017102019,操作系统模块,
2017102020,业务进程模块,
2018020711,物理资源告警,
2018020712,业务质量告警,
2018020713,状态改变告警,
2018020714,属性值改变告警,
1289,全量投诉预警,
